"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Bad Kids (Blu-ray/ On Demand DVD-R)","FilmRise",,"Out","2.0","LBX, 16:9, BLU-RAY",29.95,"NR","2016","Documentary","2.35:1","191091357446",2017-02-28 00:00:00,298010,2017-02-28 00:00:00,"1"
"Bad Kids (On Demand DVD-R)","FilmRise",,"Out","2.0","LBX, 16:9",24.95,"NR","2016","Documentary","2.35:1","191091357453",2017-02-28 00:00:00,298023,2017-02-28 00:00:00,"1"
"Basement (2009/ Dir. by Aydogan Gem)","Shami Production",,"Out","2.0","LBX, 16:9",14.99,"NR","2009","Suspense/Thriller","1.85:1","798657801032",2013-04-09 00:00:00,245477,2017-02-28 00:00:00,"1"
"Basement (2009/ Dir. by Robert Franke)","Vanguard",,"Out","2.0","LBX, 16:9",19.95,"NR","2009","Suspense/Thriller","2.35:1","658769114638",2011-09-27 00:00:00,208244,2017-02-28 00:00:00,"1"
"Basement (2011/ Blu-ray/ On Demand DVD-R)","Indie Rights",,"Out","2.0","LBX, 16:9, BLU-RAY",14.95,"NR","2011","Suspense/Thriller","1.85:1","889290488459",2015-12-04 00:00:00,299268,2017-02-28 00:00:00,"0"
"Basement (2011/ On Demand DVD-R)","Indie Rights",,"Out","2.0","LBX, 16:9",14.95,"NR","2011","Suspense/Thriller","1.85:1","889290434173",2015-12-04 00:00:00,299257,2017-02-28 00:00:00,"0"
"Beauty And The Beast (1991/ 25th Anniversary Edition)","Buena Vista",,"Out","5.1","LBX, 16:9",29.99,"G","1991","Animation","1.85:1","786936852875",2017-02-28 00:00:00,298070,2017-02-28 00:00:00,"1"
"Before Trilogy (Blu-ray): Before Sunrise / Before Sunset / Before Midnight","Criterion Collection",,"Out","VAR","LBX, 16:9, BLU-RAY",99.95,"R","VAR","Drama","1.85:1","715515192118",2017-02-28 00:00:00,297331,2017-02-28 00:00:00,"1"
"Before Trilogy: Before Sunrise / Before Sunset / Before Midnight","Criterion Collection",,"Out","VAR","LBX, 16:9",99.95,"R","VAR","Drama","1.85:1","715515192217",2017-02-28 00:00:00,297317,2017-02-28 00:00:00,"1"
"Betrayal Knows My Name: The Complete Series","FUNimation",,"Out","SUB","LBX, 16:9",59.98,"MA13","2010","Anime","1.85:1","704400039010",2017-02-28 00:00:00,297144,2017-02-28 00:00:00,"1"
